,date,beta,y-intercept
0,0617-0624,-0.1200810664716934,8.072987663616697
1,0624-0701,-0.1191275750469813,7.692542136105837
2,0701-0708,-0.1194805653576043,7.872620385780578
3,0708-0715,-0.1173493269652652,7.81942649114697
4,0715-0722,-0.119492803619436,7.811504178865078
5,0722-0729,-0.1178188338135932,7.9388098871676895
6,0729-0805,-0.1175554642937849,7.868828014974162
7,0805-0812,-0.1172462235922236,7.971397434316268
8,0812-0819,-0.1189803033821091,8.140815033343962
9,0819-0826,-0.1182953429441943,8.042645085303741
10,0826-0902,-0.1189786044650254,8.387972982806428
11,0902-0909,-0.1165452580907154,7.911933024187122
12,0909-0916,-0.1196175951997433,7.9753781755149085
13,0916-0923,-0.1182594345994214,8.11901168595723
14,0923-0930,-0.1166321343874157,8.088409483389007
15,0930-1007,-0.1180174150402459,8.011169271669225
16,1007-1014,-0.1181126667447532,7.91409298637799
17,1014-1021,-0.1200448215016233,7.729578397692593
18,1021-1028,-0.120085026396558,7.921804517449111
19,1028-1104,-0.1187155963524433,7.937300975712176
20,1104-1111,-0.1180507415624839,7.9442633540715875
21,1111-1118,-0.1171002273368774,7.577646497971767
22,1118-1125,-0.1194871882063742,7.652974199620975
23,1125-1202,-0.1177294611695484,8.137490864039098
